Filed,Document,Total Pages,case_number
8/31/2020,Proof of Service by Mail,1.0,20CHLC15000
8/31/2020,Notice : notice of entry of judgment,3.0,20CHLC15000
8/21/2020,Declaration : Re: Non-Active Military Status,5.0,20CHLC15000
8/21/2020,Statement of the Case,1.0,20CHLC15000
8/21/2020,Request for Entry of Default / Judgment,2.0,20CHLC15000
8/21/2020,Default Judgment,2.0,20CHLC15000
7/24/2020,Proof of Personal Service,2.0,20CHLC15000
7/2/2020,Summons: on Complaint,1.0,20CHLC15000
7/2/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC15000
7/2/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC15000
7/2/2020,Civil Case Cover Sheet,6.0,20CHLC15000
7/2/2020,Complaint,3.0,20CHLC15000
9/17/2020,Request for Dismissal,3.0,20CHLC15001
8/19/2020,Proof of Service - No Service,1.0,20CHLC15001
8/18/2020,Proof of Service - No Service,1.0,20CHLC15001
8/4/2020,Proof of Service - No Service,1.0,20CHLC15001
7/2/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC15001
7/2/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC15001
7/2/2020,Civil Case Cover Sheet,6.0,20CHLC15001
7/2/2020,Complaint,3.0,20CHLC15001
7/2/2020,Summons: on Complaint,1.0,20CHLC15001
8/20/2020,Request for Dismissal,2.0,20CHLC15002
7/2/2020,Summons: on Complaint,1.0,20CHLC15002
7/2/2020,Complaint,18.0,20CHLC15002
7/2/2020,Civil Case Cover Sheet,2.0,20CHLC15002
7/2/2020,Civil Case Cover Sheet,4.0,20CHLC15002
7/2/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC15002
7/2/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC15002
8/26/2020,Declaration : in Support of Calculation of Accrued Interest,1.0,20CHLC15003
8/26/2020,Declaration : of Non-Military Service,3.0,20CHLC15003
8/26/2020,Declaration : Pursuant to Code of Civil Procedure 1033,3.0,20CHLC15003
8/26/2020,Request for Entry of Default / Judgment,2.0,20CHLC15003
8/26/2020,Default Judgment,2.0,20CHLC15003
7/13/2020,Proof of Personal Service,2.0,20CHLC15003
7/2/2020,Summons: on Complaint,1.0,20CHLC15003
7/2/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC15003
7/2/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC15003
7/2/2020,Civil Case Cover Sheet,6.0,20CHLC15003
7/2/2020,Complaint,3.0,20CHLC15003
1/25/2021,Request for Dismissal,2.0,20CHLC15004
7/2/2020,Complaint,3.0,20CHLC15004
7/2/2020,Civil Case Cover Sheet,6.0,20CHLC15004
7/2/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC15004
7/2/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC15004
7/2/2020,Summons: on Complaint,1.0,20CHLC15004
11/20/2020,Request for Dismissal,2.0,20CHLC15005
7/2/2020,Summons: on Complaint,1.0,20CHLC15005
7/2/2020,Complaint,13.0,20CHLC15005
7/2/2020,Civil Case Cover Sheet,6.0,20CHLC15005
7/2/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC15005
7/2/2020,Declaration : of Venue,1.0,20CHLC15005
7/2/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC15005
3/18/2021,Request for Dismissal,3.0,20CHLC15006
11/17/2020,Proof of Service - No Service,1.0,20CHLC15006
9/8/2020,Proof of Service - No Service,1.0,20CHLC15006
7/2/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC15006
7/2/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC15006
7/2/2020,Civil Case Cover Sheet,6.0,20CHLC15006
7/2/2020,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,20CHLC15006
7/2/2020,Complaint,29.0,20CHLC15006
7/2/2020,Summons: on Complaint,1.0,20CHLC15006
