Filed,Document,Total Pages,case_number
12/9/2021,Judgment: Default Judgment,2.0,21CHLC29009
12/8/2021,Declaration of Costs - CCP 1033,4.0,21CHLC29009
12/8/2021,Request for Entry of Default / Judgment,2.0,21CHLC29009
12/8/2021,Request for Dismissal,2.0,21CHLC29009
8/27/2021,Proof of Service by Substituted Service,3.0,21CHLC29009
8/10/2021,Summons: on Complaint,1.0,21CHLC29009
8/10/2021,Complaint,3.0,21CHLC29009
8/10/2021,Civil Case Cover Sheet,6.0,21CHLC29009
8/10/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29009
8/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29009
8/4/2022,Default Judgment,2.0,21CHLC29010
8/2/2022,Request for Dismissal,2.0,21CHLC29010
8/2/2022,Declaration of Costs - CCP 1033,14.0,21CHLC29010
8/2/2022,Declaration Pursuant to 585 CCP in Support of Default Judgment,25.0,21CHLC29010
8/2/2022,Request for Entry of Default / Judgment,3.0,21CHLC29010
8/27/2021,Proof of Personal Service,3.0,21CHLC29010
8/10/2021,Civil Case Cover Sheet,6.0,21CHLC29010
8/10/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29010
8/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29010
8/10/2021,Summons: on Complaint,1.0,21CHLC29010
8/10/2021,Complaint,31.0,21CHLC29010
8/10/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC29010
11/22/2021,Request for Dismissal,2.0,21CHLC29011
11/22/2021,Proof of Service by Mail,2.0,21CHLC29011
8/27/2021,Proof of Personal Service,2.0,21CHLC29011
8/11/2021,"Certificate of Mailing for: ADR, General Order",1.0,21CHLC29011
8/10/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29011
8/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29011
8/10/2021,Summons: on Complaint,1.0,21CHLC29011
8/10/2021,Complaint,28.0,21CHLC29011
8/10/2021,Civil Case Cover Sheet,6.0,21CHLC29011
9/9/2021,Request for Dismissal,2.0,21CHLC29012
8/10/2021,Complaint,3.0,21CHLC29012
8/10/2021,Civil Case Cover Sheet,6.0,21CHLC29012
8/10/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29012
8/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29012
8/10/2021,Summons: on Complaint,1.0,21CHLC29012
6/26/2024,Minute Order: Minute Order (Order to Show Cause Re: Dismissal (Settlement)),1.0,21CHLC29013
3/28/2024,Minute Order: (Non-Jury Trial),1.0,21CHLC29013
3/5/2024,Notice of Trial,2.0,21CHLC29013
3/5/2024,Notice : Requesting and Requiring Parties to Attend Trial,1.0,21CHLC29013
3/1/2024,Declaration : IN LIEU OF PERSONAL TESTIMONY,55.0,21CHLC29013
3/1/2024,Declaration : OF NON MILITARY SERVICE,3.0,21CHLC29013
12/26/2023,Minute Order: (Order to Show Cause Re: Dismissal (Settlement)),1.0,21CHLC29013
12/14/2023,Declaration : in Support of Order to Show cause Hearing,3.0,21CHLC29013
6/24/2022,Notice of Settlement,2.0,21CHLC29013
6/24/2022,Order to Show Cause re: Dismissal (Settlement),2.0,21CHLC29013
10/1/2021,Order on Court Fee Waiver (Superior Court),3.0,21CHLC29013
10/1/2021,Answer,2.0,21CHLC29013
10/1/2021,Proof of Service by Mail,1.0,21CHLC29013
9/1/2021,Proof of Personal Service,2.0,21CHLC29013
8/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29013
8/10/2021,Summons: on Complaint,1.0,21CHLC29013
8/10/2021,Complaint,1.0,21CHLC29013
8/10/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29013
8/10/2021,Civil Case Cover Sheet,6.0,21CHLC29013
,Judgment,2.0,21CHLC29013
10/30/2023,Writ - Return,4.0,21CHLC29014
2/28/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC29014
2/28/2023,Writ of Execution: (Sacramento),3.0,21CHLC29014
7/6/2022,Writ of Execution: (SACRAMENTO),3.0,21CHLC29014
7/5/2022,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC29014
4/8/2022,Default Judgment,2.0,21CHLC29014
4/8/2022,Declaration : in support of calculation of accrued interest,1.0,21CHLC29014
4/8/2022,Request for Entry of Default / Judgment,2.0,21CHLC29014
4/8/2022,Declaration : of non-military service,3.0,21CHLC29014
8/30/2021,Proof of Personal Service,2.0,21CHLC29014
8/10/2021,Summons: on Complaint,1.0,21CHLC29014
8/10/2021,Complaint,3.0,21CHLC29014
8/10/2021,Civil Case Cover Sheet,6.0,21CHLC29014
8/10/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29014
8/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29014
3/22/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC29015
9/15/2022,Writ - Return,4.0,21CHLC29015
8/18/2022,Notice : Notice of Entry of Judgment,6.0,21CHLC29015
8/18/2022,Abstract of Judgment - Civil and Small Claims,2.0,21CHLC29015
3/14/2022,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC29015
3/14/2022,Writ of Execution: (ORANGE),3.0,21CHLC29015
1/6/2022,Judgment: Default Judgment,2.0,21CHLC29015
1/5/2022,Declaration : in support of default judgment,7.0,21CHLC29015
1/5/2022,Request for Entry of Default / Judgment,2.0,21CHLC29015
10/7/2021,Proof of Personal Service,2.0,21CHLC29015
8/10/2021,Complaint,3.0,21CHLC29015
8/10/2021,Summons: on Complaint,1.0,21CHLC29015
8/10/2021,Civil Case Cover Sheet,6.0,21CHLC29015
8/10/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29015
8/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29015
11/13/2023,Abstract of Judgment - Civil and Small Claims,2.0,21CHLC29016
11/13/2023,Notice : NOTICE OF ENTRY OF JUDGMENT,4.0,21CHLC29016
12/17/2021,Order : to Accept Copies in Lieu of Originals,1.0,21CHLC29016
12/15/2021,Default Judgment,2.0,21CHLC29016
12/9/2021,Declaration Pursuant to 585 CCP in Support of Default Judgment,31.0,21CHLC29016
12/9/2021,Request for Entry of Default / Judgment,3.0,21CHLC29016
12/9/2021,Request for Dismissal,2.0,21CHLC29016
12/9/2021,Declaration : for lost original document,2.0,21CHLC29016
10/6/2021,Proof of Service by Substituted Service,4.0,21CHLC29016
8/10/2021,Summons: on Complaint,1.0,21CHLC29016
8/10/2021,Complaint,33.0,21CHLC29016
8/10/2021,Civil Case Cover Sheet,6.0,21CHLC29016
8/10/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29016
8/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29016
10/14/2021,Declaration : of non-military service,3.0,21CHLC29017
10/14/2021,Declaration : in support of calculation of accrued interest,1.0,21CHLC29017
10/14/2021,Default Judgment,2.0,21CHLC29017
10/14/2021,Request for Entry of Default / Judgment,2.0,21CHLC29017
8/23/2021,Proof of Personal Service,2.0,21CHLC29017
8/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29017
8/10/2021,Summons: on Complaint,1.0,21CHLC29017
8/10/2021,Complaint,3.0,21CHLC29017
8/10/2021,Civil Case Cover Sheet,6.0,21CHLC29017
8/10/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29017
5/19/2022,Request for Dismissal,3.0,21CHLC29018
8/20/2021,Proof of Service - No Service,1.0,21CHLC29018
8/10/2021,Summons: on Complaint,1.0,21CHLC29018
8/10/2021,Complaint,4.0,21CHLC29018
8/10/2021,Civil Case Cover Sheet,6.0,21CHLC29018
8/10/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29018
8/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29018
5/15/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC29019
2/7/2022,Notice : of Entry of Judgment or Order,4.0,21CHLC29019
1/28/2022,Abstract of Judgment - Civil and Small Claims,2.0,21CHLC29019
12/29/2021,Default Judgment,2.0,21CHLC29019
12/15/2021,Declaration of Costs - CCP 1033,4.0,21CHLC29019
12/15/2021,Request for Entry of Default / Judgment,5.0,21CHLC29019
12/15/2021,Request for Dismissal,2.0,21CHLC29019
12/15/2021,Declaration : IN SUPPORT OF ENTRY OF DEFAULT JUDGMENT 1788.58,12.0,21CHLC29019
12/15/2021,Declaration : IN SUPPORT OF ENTRY OF DEFAULT JUDGMENT 1788.50,14.0,21CHLC29019
12/15/2021,Declaration : IN SUPPORT OF NON MILITARY STATUS,2.0,21CHLC29019
8/24/2021,Proof of Service by Substituted Service,5.0,21CHLC29019
8/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29019
8/10/2021,Summons: on Complaint,1.0,21CHLC29019
8/10/2021,Complaint,14.0,21CHLC29019
8/10/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),2.0,21CHLC29019
8/10/2021,Civil Case Cover Sheet,6.0,21CHLC29019
8/10/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29019
10/28/2021,Default Judgment,2.0,21CHLC29020
10/26/2021,Declaration : pursuant to code 1033,3.0,21CHLC29020
10/26/2021,Declaration : in support of calculation of accrued interest,1.0,21CHLC29020
10/26/2021,Declaration : of non-military service,3.0,21CHLC29020
10/26/2021,Request for Entry of Default / Judgment,2.0,21CHLC29020
8/30/2021,Proof of Service by Substituted Service,4.0,21CHLC29020
8/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29020
8/10/2021,Summons: on Complaint,1.0,21CHLC29020
8/10/2021,Complaint,3.0,21CHLC29020
