Filed,Document,Total Pages,case_number
11/28/2022,Certificate of Mailing for: (Court Order) of 11/28/2022,1.0,21CHLC40756
11/28/2022,Minute Order: (Court Order),1.0,21CHLC40756
11/22/2022,Order : [PROPOSED] ORDER TO VACATE DEFAULT JUDGMENT,1.0,21CHLC40756
11/17/2022,Stipulation and Order : DECLARATION OF AARON BALDARO,2.0,21CHLC40756
9/27/2022,Abstract of Judgment - Civil and Small Claims,2.0,21CHLC40756
2/3/2022,Judgment,2.0,21CHLC40756
2/2/2022,Request for Entry of Default / Judgment,2.0,21CHLC40756
2/2/2022,Request for Dismissal,2.0,21CHLC40756
12/17/2021,Proof of Personal Service,2.0,21CHLC40756
11/24/2021,Summons: on Complaint,1.0,21CHLC40756
11/24/2021,Complaint,3.0,21CHLC40756
11/24/2021,Civil Case Cover Sheet,6.0,21CHLC40756
11/24/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC40756
11/24/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC40756
10/3/2023,Abstract of Judgment - Civil and Small Claims,2.0,21CHLC40757
10/3/2023,Notice : OF ENTRY OF JUDGMENT,4.0,21CHLC40757
3/8/2023,Default Judgment,2.0,21CHLC40757
3/8/2023,Order : order to accept copies,1.0,21CHLC40757
3/3/2023,Declaration : for lost original document,2.0,21CHLC40757
3/3/2023,Request for Entry of Default / Judgment,3.0,21CHLC40757
3/3/2023,Request for Dismissal,2.0,21CHLC40757
3/3/2023,Declaration Pursuant to 585 CCP in Support of Default Judgment,31.0,21CHLC40757
2/14/2023,Proof of Personal Service,2.0,21CHLC40757
11/30/2022,Certificate of Mailing for: (Order to Show Cause Re: Failure to File Proof of Service and ...) of 11/30/2022,1.0,21CHLC40757
11/30/2022,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC40757
11/24/2021,Complaint,33.0,21CHLC40757
11/24/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC40757
11/24/2021,Civil Case Cover Sheet,6.0,21CHLC40757
11/24/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC40757
11/24/2021,Summons: on Complaint,1.0,21CHLC40757
2/2/2024,Acknowledgment of Satisfaction of Judgment,1.0,21CHLC40758
11/13/2023,Writ - Return,6.0,21CHLC40758
8/25/2022,Writ of Execution: (Los Angeles),3.0,21CHLC40758
8/19/2022,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC40758
5/3/2022,Default Judgment,2.0,21CHLC40758
4/29/2022,Request for Entry of Default / Judgment,3.0,21CHLC40758
4/29/2022,Request for Dismissal,2.0,21CHLC40758
4/29/2022,Declaration : Waiver of Interest in Excess of 10%,1.0,21CHLC40758
4/29/2022,Declaration : RE: C.C.P. 1788.60(a),18.0,21CHLC40758
4/29/2022,Declaration : Waiver of Security Interest,1.0,21CHLC40758
4/29/2022,Declaration : RE: CCP 1033,3.0,21CHLC40758
12/13/2021,Proof of Personal Service,2.0,21CHLC40758
11/24/2021,Summons: on Complaint,1.0,21CHLC40758
11/24/2021,Declaration : Venue,1.0,21CHLC40758
