Filed,Document,Total Pages,case_number
11/16/2021,Request for Dismissal,3.0,21CHLC29684
10/12/2021,Declaration : of Non-Service,1.0,21CHLC29684
8/17/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29684
8/17/2021,Summons: on Complaint,1.0,21CHLC29684
8/17/2021,Complaint,22.0,21CHLC29684
8/17/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC29684
8/17/2021,Civil Case Cover Sheet,6.0,21CHLC29684
8/17/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29684
1/23/2023,Writ - Return,3.0,21CHLC29685
2/1/2022,Writ of Execution: (LOS ANGELES),3.0,21CHLC29685
1/13/2022,Default Judgment: Default Judgment,2.0,21CHLC29685
1/11/2022,Request for Entry of Default / Judgment,2.0,21CHLC29685
1/11/2022,Notice of Rejection Default/Clerk's Judgment,2.0,21CHLC29685
1/10/2022,Request for Entry of Default / Judgment,2.0,21CHLC29685
1/10/2022,Request for Entry of Default / Judgment,2.0,21CHLC29685
1/10/2022,Request for Dismissal,2.0,21CHLC29685
12/7/2021,Proof of Personal Service,3.0,21CHLC29685
12/7/2021,Proof of Personal Service,4.0,21CHLC29685
8/16/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29685
8/16/2021,Summons: on Complaint,1.0,21CHLC29685
8/16/2021,Complaint,4.0,21CHLC29685
8/16/2021,Civil Case Cover Sheet,6.0,21CHLC29685
8/16/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29685
4/25/2022,Default Judgment: Default Judgment,2.0,21CHLC29686
4/21/2022,Declaration of Costs - CCP 1033,6.0,21CHLC29686
4/21/2022,Declaration Pursuant to 585 CCP in Support of Default Judgment,18.0,21CHLC29686
4/21/2022,Request for Entry of Default / Judgment,3.0,21CHLC29686
4/21/2022,Request for Dismissal,2.0,21CHLC29686
9/24/2021,Proof of Personal Service,2.0,21CHLC29686
9/16/2021,Declaration : of Non-Service,1.0,21CHLC29686
8/17/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29686
8/17/2021,Summons: on Complaint,1.0,21CHLC29686
8/17/2021,Complaint,18.0,21CHLC29686
8/17/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC29686
8/17/2021,Civil Case Cover Sheet,6.0,21CHLC29686
8/17/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29686
9/9/2022,Request for Dismissal,2.0,21CHLC29687
8/22/2022,Certificate of Mailing for: (Order to Show Cause Re: Failure to File Proof of Service and ...) of 08/22/2022,1.0,21CHLC29687
8/22/2022,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC29687
8/16/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29687
8/16/2021,Summons: on Complaint,1.0,21CHLC29687
8/16/2021,Complaint,4.0,21CHLC29687
8/16/2021,Civil Case Cover Sheet,6.0,21CHLC29687
8/16/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29687
6/21/2024,Minute Order: Minute Order (Order to Show Cause Re: submission/filing of 664.6 dismissal),1.0,21CHLC29688
2/23/2024,Minute Order: (Order to Show Cause Re: Dismissal (Settlement)),1.0,21CHLC29688
11/9/2023,Minute Order: (Order to Show Cause Re: Dismissal (Settlement)),1.0,21CHLC29688
10/7/2022,Notice of Settlement,2.0,21CHLC29688
10/7/2022,Order to Show Cause re: Dismissal (Settlement),2.0,21CHLC29688
8/23/2022,Minute Order: (Non-Jury Trial),1.0,21CHLC29688
1/20/2022,Notice of Rejection Default/Clerk's Judgment,2.0,21CHLC29688
1/19/2022,Declaration of Costs - CCP 1033,8.0,21CHLC29688
1/19/2022,Declaration Pursuant to 585 CCP in Support of Default Judgment,17.0,21CHLC29688
1/19/2022,Request for Entry of Default / Judgment,3.0,21CHLC29688
1/19/2022,Request for Dismissal,2.0,21CHLC29688
11/4/2021,Answer,2.0,21CHLC29688
11/4/2021,Order on Court Fee Waiver (Superior Court),3.0,21CHLC29688
11/4/2021,Notice of Trial,2.0,21CHLC29688
10/8/2021,Proof of Personal Service,2.0,21CHLC29688
9/30/2021,Declaration : of Non-Service,2.0,21CHLC29688
8/17/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29688
8/17/2021,Summons: on Complaint,1.0,21CHLC29688
8/17/2021,Complaint,18.0,21CHLC29688
8/17/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC29688
8/17/2021,Civil Case Cover Sheet,6.0,21CHLC29688
8/17/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29688
8/11/2023,Acknowledgment of Satisfaction of Judgment,3.0,21CHLC29689
8/10/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC29689
8/10/2023,Writ of Execution: (VENTURA),3.0,21CHLC29689
5/26/2023,Writ of Execution: (LO ANGELES),3.0,21CHLC29689
5/25/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC29689
11/1/2022,Substitution of Attorney,2.0,21CHLC29689
4/26/2022,Judgment: Default Judgment,2.0,21CHLC29689
4/22/2022,Request for Entry of Default / Judgment,2.0,21CHLC29689
4/22/2022,Request for Dismissal,2.0,21CHLC29689
4/22/2022,Declaration : RE: CCP 1033,5.0,21CHLC29689
4/22/2022,Declaration : Re: Summary of Account,11.0,21CHLC29689
4/21/2022,Request for Entry of Default / Judgment,2.0,21CHLC29689
1/20/2022,Proof of Service by Substituted Service,4.0,21CHLC29689
10/21/2021,Proof of Service - No Service,1.0,21CHLC29689
9/15/2021,Proof of Service - No Service,1.0,21CHLC29689
9/15/2021,Proof of Service - No Service,1.0,21CHLC29689
8/17/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29689
8/17/2021,Summons: on Complaint,1.0,21CHLC29689
8/17/2021,Complaint,11.0,21CHLC29689
8/17/2021,Civil Case Cover Sheet,6.0,21CHLC29689
8/17/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29689
2/15/2022,Default Judgment,2.0,21CHLC29690
2/14/2022,Declaration of Costs - CCP 1033,6.0,21CHLC29690
2/14/2022,Declaration Pursuant to 585 CCP in Support of Default Judgment,28.0,21CHLC29690
2/14/2022,Request for Entry of Default / Judgment,3.0,21CHLC29690
2/14/2022,Request for Dismissal,2.0,21CHLC29690
9/9/2021,Proof of Service by Substituted Service,4.0,21CHLC29690
9/7/2021,Declaration : of Non-Service,1.0,21CHLC29690
8/17/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29690
8/17/2021,Summons: on Complaint,1.0,21CHLC29690
8/17/2021,Complaint,22.0,21CHLC29690
8/17/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC29690
8/17/2021,Civil Case Cover Sheet,6.0,21CHLC29690
8/17/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29690
3/13/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC29691
3/13/2023,Writ of Execution: (LOS ANGELES),3.0,21CHLC29691
9/28/2022,Abstract of Judgment - Civil and Small Claims,2.0,21CHLC29691
6/22/2022,Writ of Execution: (Los Angeles),3.0,21CHLC29691
6/22/2022,Notice : OF ENTRY OF JUDGMENT,4.0,21CHLC29691
4/26/2022,Default Judgment,2.0,21CHLC29691
4/25/2022,Declaration of Costs - CCP 1033,6.0,21CHLC29691
4/25/2022,Declaration of Costs - CCP 1033,6.0,21CHLC29691
4/25/2022,Declaration Pursuant to 1717.5 CC re: Attorney Fees,7.0,21CHLC29691
4/25/2022,Declaration Pursuant to 1717.5 CC re: Attorney Fees,7.0,21CHLC29691
4/25/2022,Declaration Pursuant to 585 CCP in Support of Default Judgment,1.0,21CHLC29691
