Filed,Document,Total Pages,case_number
11/9/2021,Request for Dismissal,3.0,21CHLC34705
10/29/2021,Proof of Personal Service,3.0,21CHLC34705
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34705
9/27/2021,Summons: on Complaint,1.0,21CHLC34705
9/27/2021,Complaint,20.0,21CHLC34705
9/27/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC34705
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34705
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34705
4/12/2022,Request for Dismissal,2.0,21CHLC34706
2/28/2022,Notice of Settlement,2.0,21CHLC34706
2/28/2022,Order to Show Cause re: Dismissal (Settlement),2.0,21CHLC34706
12/20/2021,Notice of Rejection Default/Clerk's Judgment,2.0,21CHLC34706
12/20/2021,Request for Entry of Default / Judgment,2.0,21CHLC34706
12/15/2021,General Denial,3.0,21CHLC34706
12/15/2021,Notice of Trial,2.0,21CHLC34706
11/10/2021,Proof of Personal Service,2.0,21CHLC34706
11/10/2021,Proof of Personal Service,2.0,21CHLC34706
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34706
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34706
9/27/2021,Summons: on Complaint,1.0,21CHLC34706
9/27/2021,Complaint,15.0,21CHLC34706
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34706
1/26/2022,Request for Dismissal,3.0,21CHLC34707
11/3/2021,Declaration : of Non-Service,2.0,21CHLC34707
11/3/2021,Proof of Personal Service,3.0,21CHLC34707
11/2/2021,Declaration : Declaration of Non-Service,2.0,21CHLC34707
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34707
9/27/2021,Summons: on Complaint,1.0,21CHLC34707
9/27/2021,Complaint,18.0,21CHLC34707
9/27/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC34707
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34707
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34707
1/28/2022,Abstract of Judgment - Civil and Small Claims,2.0,21CHLC34708
1/11/2022,"Declaration of Interest, Costs and Attorney Fees",3.0,21CHLC34708
1/11/2022,Default Judgment,2.0,21CHLC34708
1/11/2022,Request for Entry of Default / Judgment,2.0,21CHLC34708
10/12/2021,Proof of Service by Substituted Service,5.0,21CHLC34708
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34708
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34708
9/27/2021,Summons: on Complaint,1.0,21CHLC34708
9/27/2021,Complaint,4.0,21CHLC34708
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34708
2/1/2022,Request for Dismissal,2.0,21CHLC34709
9/27/2021,Complaint,4.0,21CHLC34709
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34709
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34709
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34709
9/27/2021,Summons: on Complaint,1.0,21CHLC34709
10/9/2023,Request for Dismissal,3.0,21CHLC34710
1/27/2022,Order to Show Cause re: Dismissal (Settlement),2.0,21CHLC34710
1/24/2022,Notice of Settlement,2.0,21CHLC34710
12/3/2021,Proof of Service by Substituted Service,6.0,21CHLC34710
10/29/2021,Declaration : of Non-Service,2.0,21CHLC34710
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34710
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34710
9/27/2021,Summons: on Complaint,1.0,21CHLC34710
9/27/2021,Complaint,22.0,21CHLC34710
9/27/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC34710
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34710
1/12/2022,Request for Dismissal,3.0,21CHLC34711
12/22/2021,Order to Show Cause re: Dismissal (Settlement),2.0,21CHLC34711
12/21/2021,Notice of Settlement,2.0,21CHLC34711
10/13/2021,Proof of Personal Service,3.0,21CHLC34711
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34711
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34711
9/27/2021,Summons: on Complaint,1.0,21CHLC34711
9/27/2021,Complaint,20.0,21CHLC34711
9/27/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC34711
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34711
7/28/2022,Notice of Rejection - Pleadings,1.0,21CHLC34712
7/28/2022,"Certificate of Mailing for: [Notice of Settlement, Notice of Rejection - Pleadings]",1.0,21CHLC34712
3/3/2022,Order to Show Cause re: Dismissal (Settlement),2.0,21CHLC34712
3/2/2022,Notice of Settlement,2.0,21CHLC34712
10/15/2021,Proof of Personal Service,3.0,21CHLC34712
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34712
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34712
9/27/2021,Summons: on Complaint,1.0,21CHLC34712
9/27/2021,Complaint,27.0,21CHLC34712
9/27/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC34712
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34712
,Notice of Settlement,2.0,21CHLC34712
10/11/2022,Acknowledgment of Satisfaction of Judgment,2.0,21CHLC34713
1/27/2022,Default Judgment,2.0,21CHLC34713
1/21/2022,Request for Dismissal,2.0,21CHLC34713
1/21/2022,Declaration of Costs - CCP 1033,9.0,21CHLC34713
1/21/2022,Declaration Pursuant to 585 CCP in Support of Default Judgment,22.0,21CHLC34713
1/21/2022,Request for Entry of Default / Judgment,3.0,21CHLC34713
10/14/2021,Proof of Service by Substituted Service,6.0,21CHLC34713
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34713
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34713
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34713
9/27/2021,Summons: on Complaint,1.0,21CHLC34713
9/27/2021,Complaint,25.0,21CHLC34713
9/27/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC34713
8/30/2022,Request for Dismissal,3.0,21CHLC34714
10/5/2021,Declaration : of Non-Service,1.0,21CHLC34714
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34714
9/27/2021,Summons: on Complaint,1.0,21CHLC34714
9/27/2021,Complaint,16.0,21CHLC34714
9/27/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC34714
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34714
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34714
2/7/2024,Request for Dismissal,2.0,21CHLC34715
9/20/2022,Stipulation and Order : NOTICE OF SETTLEMENT AND REQUEST FOR DISMISSAL OF ACTION WITH THE COURT RESERVING JURISDICTION TO ENFORCE TERMS OF SETTLEMENT PURSUANT TO CCP 664.6 ORDER DISMISSING CASE AND COURT RESERVING JURISDICTION,9.0,21CHLC34715
9/20/2022,Order : DISMISSING CASE AND COURT RESERVING JURISDICTION,1.0,21CHLC34715
3/11/2022,Order : DISMISSING CASE AND COURT RESERVING JURISDICTION,1.0,21CHLC34715
3/9/2022,Stipulation and Order : NOTICE OF SETTLEMENT AND REQUEST FOR DISMISSAL OF ACTION WITH THE COURT RESERVING JURISDICTION TO ENFORCE TERMS OF SETTLEMENT PURSUANT TO CCP 664.6 ORDER DISMISSING CASE AND COURT RESERVING JURISDICTION,9.0,21CHLC34715
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34715
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34715
9/27/2021,Summons: on Complaint,1.0,21CHLC34715
9/27/2021,Complaint,40.0,21CHLC34715
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34715
8/29/2022,Request for Dismissal,3.0,21CHLC34716
10/7/2021,Declaration : of Non-Service,1.0,21CHLC34716
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34716
9/27/2021,Summons: on Complaint,1.0,21CHLC34716
9/27/2021,Complaint,24.0,21CHLC34716
9/27/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC34716
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34716
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34716
11/5/2021,Request for Dismissal,3.0,21CHLC34717
10/15/2021,Proof of Service by Substituted Service,6.0,21CHLC34717
9/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC34717
9/27/2021,Summons: on Complaint,1.0,21CHLC34717
9/27/2021,Complaint,24.0,21CHLC34717
9/27/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC34717
9/27/2021,Civil Case Cover Sheet,6.0,21CHLC34717
9/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC34717
2/9/2023,Writ of Execution: (SACRAMENTO),3.0,21CHLC34718
2/8/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC34718
1/31/2022,Default Judgment,2.0,21CHLC34718
1/26/2022,Request for Entry of Default / Judgment,3.0,21CHLC34718
1/26/2022,Request for Dismissal,2.0,21CHLC34718
1/26/2022,Declaration of Costs - CCP 1033,9.0,21CHLC34718
1/26/2022,Declaration Pursuant to 585 CCP in Support of Default Judgment,18.0,21CHLC34718
10/19/2021,Proof of Service by Substituted Service,7.0,21CHLC34718
10/12/2021,Declaration : of Non-Service,1.0,21CHLC34718
