Filed,Document,Total Pages,case_number
8/25/2021,Request for Dismissal,3.0,20CHLC21105
10/15/2020,Proof of Personal Service,2.0,20CHLC21105
9/22/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC21105
9/22/2020,Summons: on Complaint,1.0,20CHLC21105
9/22/2020,Complaint,22.0,20CHLC21105
9/22/2020,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,20CHLC21105
9/22/2020,Civil Case Cover Sheet,6.0,20CHLC21105
9/22/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC21105
5/12/2021,Writ - Return,2.0,20CHLC21106
1/25/2021,Acknowledgment of Satisfaction of Judgment,2.0,20CHLC21106
11/6/2020,Writ of Execution: (LOS ANGELES),3.0,20CHLC21106
11/6/2020,Abstract of Judgment - Civil and Small Claims,2.0,20CHLC21106
11/5/2020,Default Judgment: Default Judgment,2.0,20CHLC21106
11/5/2020,Declaration Pursuant to 585 CCP in Support of Default Judgment,8.0,20CHLC21106
11/5/2020,Request for Entry of Default / Judgment,2.0,20CHLC21106
11/5/2020,Request for Dismissal,2.0,20CHLC21106
11/5/2020,Declaration : re Accrued Interest,4.0,20CHLC21106
10/2/2020,Proof of Personal Service,3.0,20CHLC21106
9/21/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC21106
9/21/2020,Summons: on Complaint,1.0,20CHLC21106
9/21/2020,Complaint,3.0,20CHLC21106
9/21/2020,Civil Case Cover Sheet,6.0,20CHLC21106
9/21/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC21106
3/23/2021,Default Judgment,2.0,20CHLC21107
3/19/2021,Request for Entry of Default / Judgment,3.0,20CHLC21107
3/19/2021,Request for Dismissal,2.0,20CHLC21107
3/19/2021,Declaration : Waiver of Security Interest,1.0,20CHLC21107
3/19/2021,Declaration : Re: C.C.P. 1788,28.0,20CHLC21107
3/19/2021,Declaration : Re: C.C.P. 1033,2.0,20CHLC21107
