Filed,Document,Total Pages,case_number
5/6/2024,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC30845
3/6/2024,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC30845
11/30/2023,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC30845
8/28/2023,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC30845
9/2/2022,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC30845
10/27/2021,Proof of Service - No Service,1.0,21CHLC30845
9/7/2021,Certificate of Mailing for: (Court Order) of 09/07/2021,1.0,21CHLC30845
9/7/2021,Minute Order: (Court Order),1.0,21CHLC30845
9/3/2021,Challenge To Judicial Officer - Peremptory (170.6),1.0,21CHLC30845
8/26/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC30845
8/26/2021,Summons: on Complaint,1.0,21CHLC30845
8/26/2021,Complaint,15.0,21CHLC30845
8/26/2021,Civil Case Cover Sheet,6.0,21CHLC30845
8/26/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC30845
8/31/2022,Request for Dismissal,3.0,21CHLC30846
8/22/2022,Declaration : in Opposition to Order to Show Cause,8.0,21CHLC30846
5/18/2022,Declaration : of Non-Service,1.0,21CHLC30846
9/15/2021,Proof of Service - No Service,1.0,21CHLC30846
8/26/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC30846
8/26/2021,Summons: on Complaint,1.0,21CHLC30846
8/26/2021,Complaint,15.0,21CHLC30846
8/26/2021,Civil Case Cover Sheet,6.0,21CHLC30846
8/26/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC30846
1/8/2024,Notice of Ruling,2.0,21CHLC30847
1/4/2024,Notice of Entry of Judgment / Dismissal / Other Order,2.0,21CHLC30847
1/4/2024,Judgment: Pursuant to C.C.P. §664.6,1.0,21CHLC30847
1/4/2024,Judgment,1.0,21CHLC30847
1/4/2024,Order : to Vacate Conditional Dismissal and Enter Judgment Pursuant to C.C.P §664.6,1.0,21CHLC30847
1/4/2024,Minute Order: (Hearing on Motion - Other TO VACATE CONDITIONAL DISMISSAL AND...),1.0,21CHLC30847
