Filed,Document,Total Pages,case_number
2/20/2024,Abstract of Judgment - Civil and Small Claims,2.0,21CHLC29893
5/22/2023,Separate Statement,9.0,21CHLC29893
5/22/2023,Default Judgment,2.0,21CHLC29893
5/22/2023,Request for Entry of Default / Judgment,3.0,21CHLC29893
5/22/2023,Request for Dismissal,2.0,21CHLC29893
5/22/2023,Declaration : Pursuant to CCP § 1033,7.0,21CHLC29893
8/24/2022,Certificate of Mailing for: (Order to Show Cause Re: Failure to File Proof of Service and ...) of 08/24/2022,1.0,21CHLC29893
8/24/2022,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC29893
9/2/2021,Proof of Personal Service,2.0,21CHLC29893
8/18/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29893
8/18/2021,Summons: on Complaint,1.0,21CHLC29893
8/18/2021,Complaint,4.0,21CHLC29893
8/18/2021,Civil Case Cover Sheet,6.0,21CHLC29893
8/18/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29893
5/23/2023,Writ - Return,2.0,21CHLC29894
11/4/2022,Writ of Execution: (LOS ANGELES ),3.0,21CHLC29894
5/25/2022,Writ - Return,2.0,21CHLC29894
12/7/2021,Writ of Execution: (LOS ANGELES),3.0,21CHLC29894
11/8/2021,Abstract of Judgment - Civil and Small Claims,2.0,21CHLC29894
11/1/2021,Default Judgment,2.0,21CHLC29894
10/29/2021,Request for Entry of Default / Judgment,2.0,21CHLC29894
10/29/2021,"Declaration of Interest, Costs and Attorney Fees",3.0,21CHLC29894
9/2/2021,Proof of Personal Service,3.0,21CHLC29894
8/18/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC29894
8/18/2021,Summons: on Complaint,1.0,21CHLC29894
8/18/2021,Complaint,4.0,21CHLC29894
8/18/2021,Civil Case Cover Sheet,6.0,21CHLC29894
8/18/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC29894
10/19/2021,Abstract of Judgment - Civil and Small Claims,2.0,21CHLC29895
10/14/2021,Default Judgment,2.0,21CHLC29895
10/14/2021,Request for Entry of Default / Judgment,2.0,21CHLC29895
