Filed,Document,Total Pages,case_number
8/4/2020,Request for Dismissal,2.0,20CHLC07501
2/20/2020,Civil Case Cover Sheet,6.0,20CHLC07501
2/20/2020,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),2.0,20CHLC07501
2/20/2020,Complaint,11.0,20CHLC07501
2/20/2020,Summons: on Complaint,1.0,20CHLC07501
2/20/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC07501
2/20/2020,Declaration : of Venue,1.0,20CHLC07501
2/20/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC07501
6/18/2021,Judgment: Default Judgment,2.0,20CHLC07502
6/15/2021,Notice of Change of Address or Other Contact Information,2.0,20CHLC07502
6/15/2021,Request for Entry of Default / Judgment,3.0,20CHLC07502
6/15/2021,Declaration Pursuant to 585 CCP in Support of Default Judgment: Declaration in Support of Default Judgment Pursuant to Civil Code Â§ 1788.60,22.0,20CHLC07502
6/15/2021,Declaration : FOR REIMBURSEMENT OF COSTS [C.C.P. 1033],3.0,20CHLC07502
6/1/2021,Proof of Personal Service,2.0,20CHLC07502
2/25/2021,Declaration Pursuant to 585 CCP in Support of Default Judgment,22.0,20CHLC07502
2/25/2021,Notice of Change of Address or Other Contact Information,2.0,20CHLC07502
2/25/2021,Request for Dismissal,2.0,20CHLC07502
2/25/2021,Declaration : CCP 1033,3.0,20CHLC07502
9/24/2020,Notice Re: Continuance of Hearing and Order,2.0,20CHLC07502
5/1/2020,Proof of Personal Service,2.0,20CHLC07502
2/20/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC07502
2/20/2020,Complaint,11.0,20CHLC07502
2/20/2020,Summons: on Complaint,1.0,20CHLC07502
2/20/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC07502
2/20/2020,Civil Case Cover Sheet,6.0,20CHLC07502
,Request for Entry of Default / Judgment,3.0,20CHLC07502
2/2/2021,Request for Dismissal,2.0,20CHLC07503
9/24/2020,Notice Re: Continuance of Hearing and Order,2.0,20CHLC07503
5/1/2020,Proof of Personal Service,2.0,20CHLC07503
2/20/2020,Civil Case Cover Sheet,6.0,20CHLC07503
2/20/2020,Complaint,9.0,20CHLC07503
2/20/2020,Summons: on Complaint,1.0,20CHLC07503
2/20/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC07503
2/20/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC07503
10/6/2020,Default Judgment: .,2.0,20CHLC07504
10/2/2020,Declaration Pursuant to 585 CCP in Support of Default Judgment,16.0,20CHLC07504
10/2/2020,Declaration : for Reimbursement of Costs {C.C.P. 1033},3.0,20CHLC07504
10/2/2020,Request for Dismissal,2.0,20CHLC07504
10/2/2020,Request for Entry of Default / Judgment,3.0,20CHLC07504
9/24/2020,Notice Re: Continuance of Hearing and Order,2.0,20CHLC07504
4/20/2020,Declaration re: Due Diligence,1.0,20CHLC07504
4/20/2020,Proof of Mailing (Substituted Service),1.0,20CHLC07504
4/20/2020,Proof of Service by Substituted Service,2.0,20CHLC07504
2/20/2020,Complaint,11.0,20CHLC07504
2/20/2020,Summons: on Complaint,1.0,20CHLC07504
2/20/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC07504
2/20/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC07504
2/20/2020,Civil Case Cover Sheet,6.0,20CHLC07504
7/6/2023,Writ of Execution: (LOS ANGELES),3.0,20CHLC07505
7/6/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,20CHLC07505
10/7/2020,Judgment,2.0,20CHLC07505
10/6/2020,Declaration : for Reimbursement of Costs {C.C.P. 1033},3.0,20CHLC07505
10/6/2020,Declaration Pursuant to 585 CCP in Support of Default Judgment,18.0,20CHLC07505
10/6/2020,Request for Entry of Default / Judgment,3.0,20CHLC07505
10/6/2020,Request for Dismissal,2.0,20CHLC07505
9/24/2020,Notice Re: Continuance of Hearing and Order,2.0,20CHLC07505
4/17/2020,Declaration of Mailing,1.0,20CHLC07505
4/17/2020,Proof of Service by Substituted Service,2.0,20CHLC07505
4/17/2020,Declaration re: Due Diligence,1.0,20CHLC07505
2/20/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC07505
2/20/2020,Complaint,10.0,20CHLC07505
2/20/2020,Civil Case Cover Sheet,6.0,20CHLC07505
2/20/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC07505
2/20/2020,Summons: on Complaint,1.0,20CHLC07505
3/27/2020,Request for Dismissal,2.0,20CHLC07506
2/20/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC07506
2/20/2020,Civil Case Cover Sheet,6.0,20CHLC07506
2/20/2020,Complaint,9.0,20CHLC07506
2/20/2020,Summons: on Complaint,1.0,20CHLC07506
2/20/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC07506
4/18/2023,Writ of Execution: (LOS ANGELES ),3.0,20CHLC07507
4/17/2023,Declaration : Waiver of Post Judgement Costs,1.0,20CHLC07507
4/17/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,20CHLC07507
10/14/2020,Proof of Service by Mail,1.0,20CHLC07507
10/14/2020,Notice : of Entry of Judgment,3.0,20CHLC07507
9/28/2020,Default Judgment,2.0,20CHLC07507
9/25/2020,Declaration : Re Non Active Military Status,5.0,20CHLC07507
9/25/2020,Statement of the Case,1.0,20CHLC07507
9/25/2020,Request for Entry of Default / Judgment,2.0,20CHLC07507
9/24/2020,Notice Re: Continuance of Hearing and Order,2.0,20CHLC07507
8/13/2020,Proof of Service by Substituted Service,3.0,20CHLC07507
2/20/2020,Summons: on Complaint,1.0,20CHLC07507
2/20/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC07507
