Filed,Document,Total Pages,case_number
10/30/2023,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC38372
11/3/2022,Certificate of Mailing for: (Order to Show Cause Re: Failure to File Proof of Service and ...) of 11/03/2022,1.0,21CHLC38372
11/3/2022,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC38372
10/28/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC38372
10/28/2021,Summons: on Complaint,1.0,21CHLC38372
10/28/2021,Complaint,4.0,21CHLC38372
10/28/2021,Civil Case Cover Sheet,6.0,21CHLC38372
10/28/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC38372
10/25/2022,Request for Dismissal,3.0,21CHLC38373
11/8/2021,Proof of Service by Substituted Service,4.0,21CHLC38373
10/28/2021,Summons: on Complaint,1.0,21CHLC38373
10/28/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC38373
10/28/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC38373
10/28/2021,Civil Case Cover Sheet,6.0,21CHLC38373
10/28/2021,Complaint,3.0,21CHLC38373
11/22/2022,Stipulation and Order : ON SETTLEMENT AGREEMENT AND STIPULATION JURISDICTION RETAINED UNDER CODE OF CIVIL PROCEDURE 664.6,1.0,21CHLC38374
11/18/2022,Notice of Settlement,2.0,21CHLC38374
11/18/2022,Order to Show Cause re: Dismissal (Settlement),2.0,21CHLC38374
11/18/2022,Stipulation - No Order: SETTLEMENT AGREEMENT,8.0,21CHLC38374
11/7/2022,Notice : of trial,2.0,21CHLC38374
11/3/2022,Minute Order: (Non-Jury Trial),1.0,21CHLC38374
10/21/2022,Trial Brief,7.0,21CHLC38374
9/20/2022,Declaration : of Plaintiff in Lieu of Personal Testimony at Trial,256.0,21CHLC38374
1/5/2022,Answer,7.0,21CHLC38374
1/5/2022,Notice of Trial,2.0,21CHLC38374
12/2/2021,Proof of Service by Substituted Service,4.0,21CHLC38374
10/28/2021,Civil Case Cover Sheet,6.0,21CHLC38374
10/28/2021,Summons: on Complaint,1.0,21CHLC38374
10/28/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC38374
10/28/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC38374
10/28/2021,Complaint,4.0,21CHLC38374
,Judgment,3.0,21CHLC38374
5/1/2023,Request for Dismissal,3.0,21CHLC38375
11/3/2022,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC38375
12/1/2021,Declaration : of Non-Service,1.0,21CHLC38375
11/10/2021,Declaration : of Non-Service,1.0,21CHLC38375
10/28/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC38375
10/28/2021,Summons: on Complaint,1.0,21CHLC38375
10/28/2021,Complaint,4.0,21CHLC38375
10/28/2021,Civil Case Cover Sheet,6.0,21CHLC38375
10/28/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC38375
5/16/2024,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest: Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC38376
5/16/2024,Writ of Execution: Writ of Execution (LOS ANGELES),3.0,21CHLC38376
2/15/2022,Default Judgment,2.0,21CHLC38376
2/14/2022,Declaration of Costs - CCP 1033,9.0,21CHLC38376
2/14/2022,Declaration Pursuant to 585 CCP in Support of Default Judgment,22.0,21CHLC38376
2/14/2022,Request for Entry of Default / Judgment,3.0,21CHLC38376
2/14/2022,Request for Dismissal,2.0,21CHLC38376
11/3/2021,Proof of Personal Service,3.0,21CHLC38376
10/28/2021,Summons: on Complaint,1.0,21CHLC38376
10/28/2021,Complaint,25.0,21CHLC38376
10/28/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC38376
10/28/2021,Civil Case Cover Sheet,6.0,21CHLC38376
10/28/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC38376
10/28/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC38376
10/18/2022,Request for Dismissal,2.0,21CHLC38377
10/28/2021,Complaint,3.0,21CHLC38377
10/28/2021,Civil Case Cover Sheet,6.0,21CHLC38377
10/28/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC38377
10/28/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC38377
10/28/2021,Summons: on Complaint,1.0,21CHLC38377
10/25/2022,Request for Dismissal,3.0,21CHLC38378
11/3/2021,Declaration : of Non-Service,1.0,21CHLC38378
11/1/2021,Declaration : of Non-Service,1.0,21CHLC38378
10/28/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC38378
10/28/2021,Summons: on Complaint,1.0,21CHLC38378
10/28/2021,Complaint,20.0,21CHLC38378
10/28/2021,Civil Case Cover Sheet,6.0,21CHLC38378
10/28/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC38378
11/8/2022,Request for Dismissal,3.0,21CHLC38379
11/3/2022,Minute Order: (Non-Jury Trial),1.0,21CHLC38379
10/19/2022,Notice of Trial,4.0,21CHLC38379
10/13/2022,Witness List,155.0,21CHLC38379
10/13/2022,Trial Brief,5.0,21CHLC38379
10/13/2022,Memorandum of Costs (Summary),2.0,21CHLC38379
10/13/2022,Declaration : Declaration of Non-Military Service,3.0,21CHLC38379
11/12/2021,Answer,4.0,21CHLC38379
11/12/2021,Notice of Trial,2.0,21CHLC38379
11/2/2021,Proof of Personal Service,3.0,21CHLC38379
10/28/2021,Summons: on Complaint,1.0,21CHLC38379
10/28/2021,Civil Case Cover Sheet,6.0,21CHLC38379
10/28/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC38379
10/28/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC38379
10/28/2021,Complaint,3.0,21CHLC38379
,Judgment,2.0,21CHLC38379
10/30/2023,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC38380
11/3/2022,Request for Dismissal,3.0,21CHLC38380
11/3/2022,Order - Dismissal,2.0,21CHLC38380
11/3/2022,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC38380
11/15/2021,Declaration : Declaration of Non-Service,1.0,21CHLC38380
11/10/2021,Declaration : of Non-Service,1.0,21CHLC38380
10/28/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC38380
10/28/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC38380
10/28/2021,Summons: on Complaint,1.0,21CHLC38380
10/28/2021,Complaint,3.0,21CHLC38380
10/28/2021,Civil Case Cover Sheet,6.0,21CHLC38380
11/28/2022,Proof of Personal Service,3.0,21CHLC38381
11/17/2022,Civil Case Cover Sheet,6.0,21CHLC38381
11/1/2022,Request for Dismissal,3.0,21CHLC38381
10/28/2021,Summons: on Complaint,1.0,21CHLC38381
10/28/2021,Complaint,44.0,21CHLC38381
10/28/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC38381
10/28/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC38381
12/28/2021,Default Judgment,2.0,21CHLC38382
12/27/2021,Declaration : in Support of Calculation of Accrued Interest,1.0,21CHLC38382
12/27/2021,Declaration : Pursuant to Code of Civil Procedure 1033,3.0,21CHLC38382
12/27/2021,Declaration : of Non-Military Service,3.0,21CHLC38382
12/27/2021,Request for Entry of Default / Judgment,2.0,21CHLC38382
11/10/2021,Proof of Personal Service,2.0,21CHLC38382
10/27/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC38382
10/27/2021,Summons: on Complaint,1.0,21CHLC38382
10/27/2021,Complaint,4.0,21CHLC38382
10/27/2021,Civil Case Cover Sheet,6.0,21CHLC38382
10/27/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC38382
4/20/2022,Request for Entry of Default / Judgment: Request for Entry of Default / Judgment,2.0,21CHLC38383
4/20/2022,Declaration : of Non Military Service,3.0,21CHLC38383
4/20/2022,Declaration : RE: CCP 1033,3.0,21CHLC38383
4/20/2022,Declaration : of Interest,1.0,21CHLC38383
4/20/2022,Default Judgment,2.0,21CHLC38383
12/22/2021,Notice of Rejection Default/Clerk's Judgment,2.0,21CHLC38383
12/21/2021,Request for Entry of Default / Judgment,2.0,21CHLC38383
12/21/2021,Declaration : of non-military service,3.0,21CHLC38383
12/21/2021,Declaration : pursuant to code 1033,3.0,21CHLC38383
12/21/2021,Declaration : in support of calculation of accrued interest,1.0,21CHLC38383
11/1/2021,Proof of Personal Service,2.0,21CHLC38383
10/28/2021,Summons: on Complaint,1.0,21CHLC38383
10/28/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC38383
10/28/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC38383
10/28/2021,Civil Case Cover Sheet,6.0,21CHLC38383
10/28/2021,Complaint,3.0,21CHLC38383
8/10/2023,Writ - Return,2.0,21CHLC38384
2/24/2023,Abstract of Judgment - Civil and Small Claims,2.0,21CHLC38384
2/8/2023,Writ of Execution: (ORANGE),3.0,21CHLC38384
2/7/2023,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC38384
2/7/2023,Declaration : Waiver of Post Judgment Costs,1.0,21CHLC38384
7/20/2022,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,21CHLC38384
