Filed,Document,Total Pages,case_number
1/10/2023,Acknowledgment of Satisfaction of Judgment,3,20CHLC22145
12/27/2022,Writ - Return,Currently Unavailable,20CHLC22145
2/17/2022,Writ of Execution: (LOS ANGELES),3,20CHLC22145
10/7/2021,Abstract of Judgment - Civil and Small Claims,2,20CHLC22145
9/21/2021,Default Judgment,2,20CHLC22145
9/17/2021,Request for Entry of Default / Judgment,3,20CHLC22145
9/17/2021,"Declaration of Interest, Costs and Attorney Fees",3,20CHLC22145
8/27/2021,Proof of Personal Service,2,20CHLC22145
4/6/2021,Request for Entry of Default / Judgment,3,20CHLC22145
4/6/2021,"Declaration of Interest, Costs and Attorney Fees",3,20CHLC22145
4/6/2021,Notice of Rejection Default/Clerk's Judgment,2,20CHLC22145
4/6/2021,Notice of Change of Address or Other Contact Information,2,20CHLC22145
4/6/2021,Declaration : in Support of Application for Entry of Default Judgment Pursuant to CIV. Code Sec 1788.60(b),18,20CHLC22145
10/16/2020,Proof of Personal Service,2,20CHLC22145
9/30/2020,Notice of Case Assignment - Limited Civil Case,1,20CHLC22145
9/30/2020,Summons: on Complaint,1,20CHLC22145
9/30/2020,Complaint,13,20CHLC22145
9/30/2020,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),2,20CHLC22145
9/30/2020,Civil Case Cover Sheet,6,20CHLC22145
9/30/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2,20CHLC22145
2/11/2021,Request for Dismissal,2.0,20CHLC22146
10/6/2020,Proof of Service - No Service,1.0,20CHLC22146
9/30/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC22146
9/30/2020,Summons: on Complaint,1.0,20CHLC22146
9/30/2020,Complaint,12.0,20CHLC22146
9/30/2020,Civil Case Cover Sheet,6.0,20CHLC22146
9/30/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC22146
9/30/2020,Declaration : Declaration of Venue,1.0,20CHLC22146
7/19/2021,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,20CHLC22147
7/19/2021,Writ of Execution: (SACRAMENTO),3.0,20CHLC22147
4/6/2021,Default Judgment,2.0,20CHLC22147
3/30/2021,Declaration Pursuant to 585 CCP in Support of Default Judgment,23.0,20CHLC22147
3/30/2021,Request for Entry of Default / Judgment,3.0,20CHLC22147
3/30/2021,Request for Dismissal,2.0,20CHLC22147
3/30/2021,Declaration : DECLARATION PURSUANT CCP 1033,10.0,20CHLC22147
10/7/2020,Proof of Personal Service,2.0,20CHLC22147
9/30/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC22147
9/30/2020,Summons: on Complaint,1.0,20CHLC22147
9/30/2020,Complaint,18.0,20CHLC22147
9/30/2020,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,20CHLC22147
9/30/2020,Civil Case Cover Sheet,6.0,20CHLC22147
9/30/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC22147
6/28/2021,Request for Dismissal,3.0,20CHLC22148
12/1/2020,Proof of Service - No Service,1.0,20CHLC22148
10/1/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC22148
10/1/2020,Summons: on Complaint,1.0,20CHLC22148
10/1/2020,Complaint,3.0,20CHLC22148
10/1/2020,Civil Case Cover Sheet,6.0,20CHLC22148
10/1/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC22148
,Request for Dismissal,3.0,20CHLC22148
5/28/2021,Request for Dismissal,3.0,20CHLC22149
10/19/2020,Proof of Personal Service,2.0,20CHLC22149
9/30/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC22149
9/30/2020,Summons: on Complaint,1.0,20CHLC22149
9/30/2020,Complaint,24.0,20CHLC22149
9/30/2020,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,20CHLC22149
9/30/2020,Civil Case Cover Sheet,6.0,20CHLC22149
9/30/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC22149
8/27/2021,Stipulated Judgment,1.0,20CHLC22150
8/26/2021,Stipulation - No Order: Conditional Settlement Agreement,1.0,20CHLC22150
8/26/2021,Request for Dismissal,2.0,20CHLC22150
8/26/2021,Proof of Service by Mail,2.0,20CHLC22150
8/26/2021,Declaration : Re: Default in Payments,2.0,20CHLC22150
5/28/2021,Order to Show Cause re: Dismissal (Settlement),2.0,20CHLC22150
5/27/2021,Notice of Settlement,3.0,20CHLC22150
12/10/2020,Proof of Service - No Service,2.0,20CHLC22150
12/10/2020,Proof of Personal Service,2.0,20CHLC22150
10/21/2020,Proof of Service - No Service,1.0,20CHLC22150
9/30/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC22150
9/30/2020,Summons: on Complaint,1.0,20CHLC22150
9/30/2020,Complaint,18.0,20CHLC22150
9/30/2020,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,20CHLC22150
9/30/2020,Civil Case Cover Sheet,6.0,20CHLC22150
9/30/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC22150
8/28/2023,Acknowledgment of Satisfaction of Judgment,2.0,20CHLC22151
5/11/2021,Writ of Execution: (LOS ANGELES),3.0,20CHLC22151
5/10/2021,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,20CHLC22151
2/23/2021,Default Judgment,2.0,20CHLC22151
2/22/2021,Declaration Pursuant to 585 CCP in Support of Default Judgment,30.0,20CHLC22151
2/22/2021,Request for Entry of Default / Judgment,3.0,20CHLC22151
2/22/2021,Request for Dismissal,2.0,20CHLC22151
2/22/2021,Declaration : Re: CCP 1033; Interest; and Evidence Code 1550,10.0,20CHLC22151
10/13/2020,Proof of Personal Service,2.0,20CHLC22151
9/30/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC22151
9/30/2020,Summons: on Complaint,1.0,20CHLC22151
9/30/2020,Complaint,29.0,20CHLC22151
9/30/2020,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,20CHLC22151
9/30/2020,Civil Case Cover Sheet,6.0,20CHLC22151
9/30/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC22151
3/28/2022,Writ - Return,4.0,20CHLC22152
3/15/2022,Acknowledgment of Satisfaction of Judgment,2.0,20CHLC22152
