Filed,Document,Total Pages,case_number
4/16/2024,"Certificate of Mailing for: (Court Order Pursuant to Notice of Settlement; Pursuant to ""...) of 04/16/2024",1.0,22NWLC08651
4/16/2024,"Minute Order: (Court Order Pursuant to Notice of Settlement; Pursuant to ""...)",1.0,22NWLC08651
4/15/2024,Notice of Settlement: (Conditional as to Entire Action),2.0,22NWLC08651
4/8/2024,Witness List,2.0,22NWLC08651
4/8/2024,Stipulation Re: Settlement Conference,3.0,22NWLC08651
4/8/2024,Certificate of Mailing for: (Non-Jury Trial) of 04/08/2024,1.0,22NWLC08651
4/8/2024,Affidavit,1.0,22NWLC08651
4/8/2024,Exhibit List,13.0,22NWLC08651
4/8/2024,Limited Jurisdiction Trial Transfer Order,1.0,22NWLC08651
4/8/2024,Minute Order: (Non-Jury Trial),2.0,22NWLC08651
4/8/2024,Minute Order: (Non-Jury Trial),2.0,22NWLC08651
2/26/2024,Witness List,3.0,22NWLC08651
2/26/2024,Exhibit List,12.0,22NWLC08651
2/26/2024,Minute Order: (Non-Jury Trial),1.0,22NWLC08651
10/18/2023,Stipulation for the Appointment of Court Commissioner as Temporary Judge,1.0,22NWLC08651
10/18/2023,Minute Order: (Non-Jury Trial),1.0,22NWLC08651
10/16/2023,Notice of Rejection of Electronic Filing,1.0,22NWLC08651
10/16/2023,Ex Parte Application : TO CONTINUE TRIAL DATE,8.0,22NWLC08651
8/16/2023,Certificate of Mailing for: (Hearing on Motion for Leave to Amend Notice Of Motion And Mot...) of 08/16/2023,1.0,22NWLC08651
8/16/2023,Minute Order: (Hearing on Motion for Leave to Amend Notice Of Motion And Mot...),7.0,22NWLC08651
7/27/2023,Minute Order: (Hearing on Motion for Leave to Amend Notice Of Motion And Mot...),1.0,22NWLC08651
7/11/2023,Opposition : DEFENDANT LOYST P. FLETCHERS OPPOSITION TO PLAINTIFFS MOTION FOR LEAVE TO AMEND ADMISSIONS,85.0,22NWLC08651
7/11/2023,Opposition : TO PLAINTIFFS SECOND MOTION FOR LEAVE TO FILE PLAINTIFFS FIRST AMENDED COMPLAINT,81.0,22NWLC08651
5/17/2023,Minute Order: (Hearing on Motion for Summary Judgment),9.0,22NWLC08651
5/16/2023,Motion for Leave : Motion For Leave To File Plaintiffs First Amended Complaint,18.0,22NWLC08651
5/16/2023,Motion for Leave to Amend : Plaintiffs Responses To Defendants Requests For Admissions - Set One,11.0,22NWLC08651
5/8/2023,Minute Order: (Hearing on Motion for Leave Motion For Leave To File Plaintif...),5.0,22NWLC08651
4/25/2023,Opposition : DEFENDANT LOYST PTO PLAINTIFFS UNSERVED MOTION FOR LEAVE TO FILE PLAINTIFFS FIRST AMENDED COMPLAINT,10.0,22NWLC08651
4/25/2023,Declaration : of Loyst Fletcher re Plaintiff motion for leave to amend complaint,83.0,22NWLC08651
2/22/2023,Minute Order: (Hearing on Motion for Summary Judgment),3.0,22NWLC08651
2/14/2023,Amended Complaint: [FIRST] (1st),6.0,22NWLC08651
2/14/2023,Minute Order: (Hearing on Motion for Summary Judgment),2.0,22NWLC08651
2/14/2023,Motion for Leave to Amend : File Plaintiff's First Amended Complaint,17.0,22NWLC08651
2/8/2023,Reply : SEPARATE STATEMENT OF UNDISPUTED MATERIAL FACTS,26.0,22NWLC08651
2/8/2023,Reply : TO PLAINTIFFS OPPOSITION TO DEFENDANTS MOTION FOR SUMMARY JUDGMENT,8.0,22NWLC08651
2/1/2023,Notice : OF NON-OPPOSITION BY PLAINTIFF TO DEFENDANT'S MOTION FOR SUMMARY JUDGMENT,3.0,22NWLC08651
1/31/2023,Notice : OF ERRATA,3.0,22NWLC08651
1/31/2023,Exhibit List,17.0,22NWLC08651
1/31/2023,Separate Statement,11.0,22NWLC08651
1/31/2023,Declaration : IN SUPPORT OF OPPOSITION TO MOTION FOR SUMMARY JUDGMENT,8.0,22NWLC08651
1/31/2023,Declaration : IN SUPPORT OF OPPOSITION TO MOTION FOR SUMMARY JUDGMENT,3.0,22NWLC08651
1/31/2023,Opposition : TO MOTION FOR SUMMARY JUDGMENT,4.0,22NWLC08651
11/7/2022,"Separate Statement: OF UNDISPUTED MATERIAL FACTS IN SUPPORT OF DEFENDANT’S MOTION FOR SUMMARY JUDGMENT, OR IN THE ALTERNATIVE SUMMARY ADJUDICATION;",7.0,22NWLC08651
11/7/2022,Motion for Summary Judgment: Or In The Alternative For Summary Adjudication,20.0,22NWLC08651
11/7/2022,Declaration : OF LOYST P. FLETCHER IN SUPPORT OF DEFENDANT’S MOTION FOR SUMMARY JUDGMENT OR IN THE ALTERNATIVE SUMMARY ADJUDICATION,45.0,22NWLC08651
11/1/2022,Certificate of Mailing for: (Court Order Re Reassignment to Limited Civil Non-Collections Hub) of 11/01/2022,1.0,22NWLC08651
11/1/2022,Minute Order: (Court Order Re Reassignment to Limited Civil Non-Collections Hub),1.0,22NWLC08651
10/19/2022,Certificate of Mailing for: (Hearing on Motion to Compel Responses to Defendant's Discover...) of 10/19/2022,1.0,22NWLC08651
10/19/2022,Minute Order: (Hearing on Motion to Compel Responses to Defendant's Discover...),1.0,22NWLC08651
10/18/2022,Declaration : IN SUPPORT OF REPLY TO OPPOSITION TO MOTION TO COMPEL,7.0,22NWLC08651
10/18/2022,Reply : to Opposition to Motion to Compel Discovery,7.0,22NWLC08651
