Filed,Document,Total Pages,case_number
3/15/2021,Request for Dismissal,3.0,20CHLC21661
10/1/2020,Proof of Service - No Service,1.0,20CHLC21661
9/29/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC21661
9/29/2020,Summons: on Complaint,1.0,20CHLC21661
9/29/2020,Complaint,3.0,20CHLC21661
9/29/2020,Civil Case Cover Sheet,6.0,20CHLC21661
9/29/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC21661
11/10/2022,Proof of Service by Mail,1.0,20CHLC21662
11/10/2022,Acknowledgment of Satisfaction of Judgment,2.0,20CHLC21662
4/4/2022,Notice : of entry of judgement,3.0,20CHLC21662
4/4/2022,Proof of Service by Mail,1.0,20CHLC21662
6/14/2021,Default Judgment,2.0,20CHLC21662
6/14/2021,Request for Entry of Default / Judgment,2.0,20CHLC21662
6/14/2021,Statement of the Case,1.0,20CHLC21662
6/14/2021,Declaration : Re Non-Active Military Status,5.0,20CHLC21662
2/5/2021,Proof of Personal Service,2.0,20CHLC21662
9/29/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC21662
9/29/2020,Summons: on Complaint,1.0,20CHLC21662
9/29/2020,Complaint,3.0,20CHLC21662
9/29/2020,Civil Case Cover Sheet,6.0,20CHLC21662
9/29/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC21662
3/15/2021,Request for Dismissal,3.0,20CHLC21663
10/6/2020,Proof of Service - No Service,1.0,20CHLC21663
9/29/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC21663
9/29/2020,Summons: on Complaint,1.0,20CHLC21663
9/29/2020,Complaint,3.0,20CHLC21663
9/29/2020,Civil Case Cover Sheet,6.0,20CHLC21663
9/29/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC21663
10/1/2020,Proof of Service - No Service,1.0,20CHLC21664
9/29/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC21664
9/29/2020,Summons: on Complaint,1.0,20CHLC21664
9/29/2020,Complaint,3.0,20CHLC21664
9/29/2020,Civil Case Cover Sheet,6.0,20CHLC21664
9/29/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC21664
6/29/2022,Writ of Execution: (ALAMEDA),3.0,20CHLC21665
6/28/2022,"Memorandum of Costs After Judgment, Acknowledgment of Credit, and Declaration of Accrued Interest",2.0,20CHLC21665
12/7/2020,Default Judgment,2.0,20CHLC21665
12/4/2020,Request for Entry of Default / Judgment,2.0,20CHLC21665
12/4/2020,Declaration : PURSUANT TO CODE 1033,3.0,20CHLC21665
12/4/2020,Declaration : IN SUPPORT OF CALCUALATION OF ACCRUED INTEREST,1.0,20CHLC21665
12/4/2020,Declaration : OF NON-MILITARY SERVICE,3.0,20CHLC21665
10/2/2020,Proof of Personal Service,2.0,20CHLC21665
9/29/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC21665
9/29/2020,Summons: on Complaint,1.0,20CHLC21665
9/29/2020,Complaint,3.0,20CHLC21665
9/29/2020,Civil Case Cover Sheet,6.0,20CHLC21665
9/29/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC21665
5/17/2022,Notice : of entry of judgment,3.0,20CHLC21666
5/17/2022,Proof of Service by Mail,1.0,20CHLC21666
8/11/2021,Default Judgment,2.0,20CHLC21666
8/10/2021,Request for Entry of Default / Judgment,2.0,20CHLC21666
8/10/2021,Statement of the Case,1.0,20CHLC21666
8/10/2021,Declaration : Re: Non-Active Military Status,5.0,20CHLC21666
2/9/2021,Proof of Personal Service,2.0,20CHLC21666
9/29/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC21666
9/29/2020,Summons: on Complaint,1.0,20CHLC21666
9/29/2020,Complaint,3.0,20CHLC21666
9/29/2020,Civil Case Cover Sheet,6.0,20CHLC21666
9/29/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC21666
4/20/2021,Default Judgment,2.0,20CHLC21667
4/20/2021,Request for Entry of Default / Judgment,2.0,20CHLC21667
4/20/2021,Declaration : pursuant to code 1033,3.0,20CHLC21667
4/20/2021,Declaration : in support of calculation of accrued interest,1.0,20CHLC21667
4/20/2021,Declaration : of non-military service,3.0,20CHLC21667
10/7/2020,Proof of Service by Substituted Service,3.0,20CHLC21667
9/29/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC21667
9/29/2020,Summons: on Complaint,1.0,20CHLC21667
9/29/2020,Complaint,3.0,20CHLC21667
9/29/2020,Civil Case Cover Sheet,6.0,20CHLC21667
9/29/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC21667
3/23/2022,Abstract of Judgment - Civil and Small Claims,2.0,20CHLC21668
7/9/2021,Default Judgment,2.0,20CHLC21668
7/8/2021,Request for Entry of Default / Judgment,2.0,20CHLC21668
7/8/2021,Request for Dismissal,2.0,20CHLC21668
7/8/2021,Declaration : of Plaintiff's Attorney Regarding Nonmilitary Status,5.0,20CHLC21668
7/8/2021,Declaration : in Support of Application for Entry of Judgment for Card 2 Ending in #1008,18.0,20CHLC21668
7/8/2021,Declaration : in Support of Application for Entry of Judgment for Card 1 Ending in #1003,28.0,20CHLC21668
7/8/2021,Declaration : Pursuant to Code of Civil Procedure Section 1033 (b),4.0,20CHLC21668
10/6/2020,Proof of Service by Substituted Service,3.0,20CHLC21668
9/29/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC21668
9/29/2020,Summons: on Complaint,1.0,20CHLC21668
9/29/2020,Complaint,4.0,20CHLC21668
9/29/2020,Civil Case Cover Sheet,6.0,20CHLC21668
9/29/2020,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,20CHLC21668
9/29/2020,Declaration : of Plaintiff's Attorney Regarding Nonmilitary Status,4.0,20CHLC21668
8/18/2021,Request for Dismissal,2.0,20CHLC21669
9/29/2020,Notice of Case Assignment - Limited Civil Case,1.0,20CHLC21669
9/29/2020,Summons: on Complaint,1.0,20CHLC21669
9/29/2020,Complaint,3.0,20CHLC21669
9/29/2020,Civil Case Cover Sheet,6.0,20CHLC21669
