Filed,Document,Total Pages,case_number
11/18/2022,Minute Order: (Order to Show Cause Re: Failure to File Proof of Service and ...),1.0,21CHLC39615
12/2/2021,Proof of Service by Substituted Service,6.0,21CHLC39615
11/12/2021,Civil Case Cover Sheet,6.0,21CHLC39615
11/12/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC39615
11/12/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC39615
11/12/2021,Summons: on Complaint,1.0,21CHLC39615
11/12/2021,Complaint,46.0,21CHLC39615
11/12/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC39615
10/14/2022,Default Judgment,2.0,21CHLC39616
10/13/2022,Declaration Pursuant to 585 CCP in Support of Default Judgment,24.0,21CHLC39616
10/13/2022,Declaration of Costs - CCP 1033,17.0,21CHLC39616
10/13/2022,Request for Dismissal,2.0,21CHLC39616
10/13/2022,Request for Entry of Default / Judgment,3.0,21CHLC39616
12/9/2021,Proof of Service by Substituted Service,4.0,21CHLC39616
11/10/2021,Complaint,20.0,21CHLC39616
11/10/2021,Summons: on Complaint,1.0,21CHLC39616
11/10/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC39616
11/10/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC39616
11/10/2021,Civil Case Cover Sheet,7.0,21CHLC39616
11/10/2021,Declaration in Support of Bus. & Prof. Code 6322.1(c)(1),1.0,21CHLC39616
2/28/2022,Notice : of Entry of Judgment,4.0,21CHLC39617
2/28/2022,Abstract of Judgment - Civil and Small Claims,2.0,21CHLC39617
2/28/2022,Writ of Execution: (LOS ANGELES),3.0,21CHLC39617
2/25/2022,Default Judgment: DEFAULT JUDGMENT,2.0,21CHLC39617
2/14/2022,Declaration Pursuant to 585 CCP in Support of Default Judgment,18.0,21CHLC39617
2/14/2022,Request for Dismissal,2.0,21CHLC39617
2/14/2022,Request for Entry of Default / Judgment,2.0,21CHLC39617
1/28/2022,Request for Entry of Default / Judgment,2.0,21CHLC39617
12/22/2021,Proof of Service by Substituted Service,3.0,21CHLC39617
11/12/2021,Complaint,4.0,21CHLC39617
11/12/2021,Summons: on Complaint,1.0,21CHLC39617
11/12/2021,Notice of Case Assignment - Limited Civil Case,1.0,21CHLC39617
11/12/2021,"Order to Show Cause Hearing/Trial Date (Cal. Rules of Court, rule 3.740)",2.0,21CHLC39617
11/12/2021,Civil Case Cover Sheet,6.0,21CHLC39617
1/25/2022,Default Judgment,2.0,21CHLC39618
1/21/2022,Request for Entry of Default / Judgment,3.0,21CHLC39618
1/21/2022,Declaration : RE: COMPLIANCE WITH CCP 1033 2) Waiver of Attorney Fees),5.0,21CHLC39618
